No.,需求编号,用例等级,Feature,Category,TestMethod,Subfunction,Summary,Preconditions,TestSteps,Expectedresults,Author,Result,Ver,Date,Tester,Comment
TC_YW_Router_NotMessageRouter_0x135_006,SWRS-1,A,CAN路由,基本功能,手动测试,0x135,CAN信号路由_(BrkPrsVd)_0x135->0x136,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_SASAngle，报文ID：0x135中信号
BrkPrsVd=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_SASAngle01，报文ID：0x136分别对应以下信号值
BrkPrsVd=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x135_007,SWRS-1,A,CAN路由,基本功能,手动测试,0x135,CAN信号路由_(VDCFailure)_0x135->0x136,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_SASAngle，报文ID：0x135中信号
VDCFailure=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_SASAngle01，报文ID：0x136分别对应以下信号值
VDCFailure01=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x135_008,SWRS-1,A,CAN路由,基本功能,手动测试,0x135,CAN信号路由_(TCSFailure)_0x135->0x136,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_SASAngle，报文ID：0x135中信号
TCSFailure=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_SASAngle01，报文ID：0x136分别对应以下信号值
TCSFailure01=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x135_009,SWRS-1,A,CAN路由,基本功能,手动测试,0x135,CAN信号路由_(EBDFailure)_0x135->0x136,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_SASAngle，报文ID：0x135中信号
EBDFailure=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_SASAngle01，报文ID：0x136分别对应以下信号值
EBDFailure=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x135_010,SWRS-1,A,CAN路由,基本功能,手动测试,0x135,CAN信号路由_(BrkPrs)_0x135->0x136,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_SASAngle，报文ID：0x135中信号
BrkPrs=0/1/10/100/120/250
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_SASAngle01，报文ID：0x136分别对应以下信号值
BrkPrs=0/1/10/100/120/250
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x135_011,SWRS-1,A,CAN路由,基本功能,手动测试,0x135,CAN信号路由_(ABSFailure)_0x135->0x136,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_SASAngle，报文ID：0x135中信号
ABSFailure=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_SASAngle01，报文ID：0x136分别对应以下信号值
ABSFailure=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x135_012,SWRS-1,A,CAN路由,基本功能,手动测试,0x135,CAN信号路由_(TCSItvInProgress)_0x135->0x136,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_SASAngle，报文ID：0x135中信号
TCSItvInProgress=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_SASAngle01，报文ID：0x136分别对应以下信号值
TCSItvInProgress01=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x135_013,SWRS-1,A,CAN路由,基本功能,手动测试,0x135,CAN信号路由_(NoBrakeForce)_0x135->0x136,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_SASAngle，报文ID：0x135中信号
NoBrakeForce=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_SASAngle01，报文ID：0x136分别对应以下信号值
NoBrakeForce01=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x135_014,SWRS-1,A,CAN路由,基本功能,手动测试,0x135,CAN信号路由_(BrakeDiscTempHigh)_0x135->0x136,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_SASAngle，报文ID：0x135中信号
BrakeDiscTempHigh=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_SASAngle01，报文ID：0x136分别对应以下信号值
BrakeDiscTempHigh=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x135_015,SWRS-1,A,CAN路由,基本功能,手动测试,0x135,CAN信号路由_(AYCItvInProgress)_0x135->0x136,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_SASAngle，报文ID：0x135中信号
AYCItvInProgress=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_SASAngle01，报文ID：0x136分别对应以下信号值
AYCItvInProgress=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x135_016,SWRS-1,A,CAN路由,基本功能,手动测试,0x135,CAN信号路由_(ABSItvInProgress)_0x135->0x136,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：EPS_SASAngle，报文ID：0x135中信号
ABSItvInProgress=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：EPS_SASAngle01，报文ID：0x136分别对应以下信号值
ABSItvInProgress=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
0x238,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x238_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x238,CAN信号路由_(ACCMode_ESP)_0x238->0x238,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VDC_MRR_SysSt，报文ID：0x238中信号
ACCMode_ESP=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VDC_MRR_SysSt，报文ID：0x238分别对应以下信号值
ACCMode_ESP=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
0x140,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x140_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x140,CAN信号路由_(AccAxTarAim)_0x140->0x140,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MRR_SysSt，报文ID：0x140中信号
AccAxTarAim=-7.22/-3/1/0/1/2/3.015
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MRR_SysSt，报文ID：0x140分别对应以下信号值
AccAxTarAim=-7.22/-3/1/0/1/2/3.015
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x140_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x140,CAN信号路由_(DriveOff)_0x140->0x140,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MRR_SysSt，报文ID：0x140中信号
DriveOff=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MRR_SysSt，报文ID：0x140分别对应以下信号值
DriveOff=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x140_003,SWRS-1,A,CAN路由,基本功能,手动测试,0x140,CAN信号路由_(DecToStop)_0x140->0x140,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MRR_SysSt，报文ID：0x140中信号
DecToStop=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MRR_SysSt，报文ID：0x140分别对应以下信号值
DecToStop=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
0x143,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x143_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x143,CAN信号路由_(AEBaxTar)_0x143->0x143,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MRR_PSSSysSt，报文ID：0x143中信号
AEBaxTar=-16/-10/-1/0/1/10/16
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MRR_PSSSysSt，报文ID：0x143分别对应以下信号值
AEBaxTar=-16/-10/-1/0/1/10/16
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x143_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x143,CAN信号路由_(AEBDecCtrlRequest)_0x143->0x143,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MRR_PSSSysSt，报文ID：0x143中信号
AEBDecCtrlRequest=0/1
2.报文周期设定为20ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MRR_PSSSysSt，报文ID：0x143分别对应以下信号值
AEBDecCtrlRequest=0/1
收到报文周期为20ms，DLC=8
",陈昌松,,,,,
0x160,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x160_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x160,CAN信号路由_(VLCAvailable)_0x160->0x160,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MPC_VCU_ACC，报文ID：0x160中信号
VLCAvailable=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MPC_VCU_ACC，报文ID：0x160分别对应以下信号值
VLCAvailable01=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x160_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x160,CAN信号路由_(VLCActive)_0x160->0x160,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：MPC_VCU_ACC，报文ID：0x160中信号
VLCActive=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：MPC_VCU_ACC，报文ID：0x160分别对应以下信号值
VLCActive01=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
0x153,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x153_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x153,CAN信号路由_(HBBActive)_0x153->0x153,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ACC，报文ID：0x153中信号
HBBActive=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ACC，报文ID：0x153分别对应以下信号值
HBBActive=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x153_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x153,CAN信号路由_(VLC_InternalTargetAcceleration)_0x153->0x153,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ACC，报文ID：0x153中信号
VLC_InternalTargetAcceleration=
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ACC，报文ID：0x153分别对应以下信号值
VLC_InternalTargetAcceleration=
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x153_003,SWRS-1,A,CAN路由,基本功能,手动测试,0x153,CAN信号路由_(EBS_BrkPelPosAct)_0x153->0x153,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ACC，报文ID：0x153中信号
EBS_BrkPelPosAct=-7.22/-5/-1/0/1/5/7.22
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ACC，报文ID：0x153分别对应以下信号值
EBS_BrkPelPosAct=-7.22/-5/-1/0/1/5/7.22
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x153_004,SWRS-1,A,CAN路由,基本功能,手动测试,0x153,CAN信号路由_(EBS_BrkPelPosActVD)_0x153->0x153,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ACC，报文ID：0x153中信号
EBS_BrkPelPosActVD=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ACC，报文ID：0x153分别对应以下信号值
EBS_BrkPelPosActVD=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x153_005,SWRS-1,A,CAN路由,基本功能,手动测试,0x153,CAN信号路由_(VCU_CDD_active)_0x153->0x153,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ACC，报文ID：0x153中信号
VCU_CDD_active=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ACC，报文ID：0x153分别对应以下信号值
VCU_CDD_active=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x153_006,SWRS-1,A,CAN路由,基本功能,手动测试,0x153,CAN信号路由_(VCU_CDD_available)_0x153->0x153,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ACC，报文ID：0x153中信号
VCU_CDD_available=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ACC，报文ID：0x153分别对应以下信号值
VCU_CDD_available=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x153_007,SWRS-1,A,CAN路由,基本功能,手动测试,0x153,CAN信号路由_(CDDActiveVehHold)_0x153->0x153,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ACC，报文ID：0x153中信号
CDDActiveVehHold=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ACC，报文ID：0x153分别对应以下信号值
CDDActiveVehHold=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x153_008,SWRS-1,A,CAN路由,基本功能,手动测试,0x153,CAN信号路由_(AutoHoldActive)_0x153->0x153,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ACC，报文ID：0x153中信号
AutoHoldActive=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ACC，报文ID：0x153分别对应以下信号值
AutoHoldActive=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x153_009,SWRS-1,A,CAN路由,基本功能,手动测试,0x153,CAN信号路由_(ACCPassiveSts)_0x153->0x153,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ACC，报文ID：0x153中信号
ACCPassiveSts=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ACC，报文ID：0x153分别对应以下信号值
ACCPassiveSts=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x153_010,SWRS-1,A,CAN路由,基本功能,手动测试,0x153,CAN信号路由_(GearMove)_0x153->0x153,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：VCU_ACC，报文ID：0x153中信号
GearMove=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：VCU_ACC，报文ID：0x153分别对应以下信号值
GearMove=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
0x1F4,,,,,,,,,,,,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_001,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(HVBSOCVCU)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
HVBSOCVCU=0/10/50/100
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
HVBSOCVCU=0/10/50/100
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_002,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(VehicleStandstill)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
VehicleStandstill=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
VehicleStandstill01=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_003,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(Poslamp)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
Poslamp=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
Poslamp01=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
TC_YW_Router_NotMessageRouter_0x1F4_004,SWRS-1,A,CAN路由,基本功能,手动测试,0x1F4,CAN信号路由_(PsgDoorStatus)_0x1F4->0x1F5,"1.被测板的CAN1连接CANoe的CAN1，被测板的CAN8连接CANoe的CAN2连接
2.被测板子正常启动","1.使用CANoe工具，在CANOE中对应CAN1通道上发送报文名称：srBI_VehSt，报文ID：0x1F4中信号
PsgDoorStatus=0/1
2.报文周期设定为10ms，DLC=8发送报文
","2.在CANOE中对应CAN2通道能收到报文名称：srBI_VehSt01，报文ID：0x1F5分别对应以下信号值
PsgDoorStatus=0/1
收到报文周期为10ms，DLC=8
",陈昌松,,,,,
